Dataset	Effect	Trt	Estimate
151	Trt	B	-0.6644
151	Trt	A	0
151	Scale Parameter		3.0249
152	Intercept		-0.6295
152	Trt	D	-1.3049
152	Trt	C	-0.8219
152	Trt	B	-0.7463
152	Trt	A	0
152	Scale Parameter		2.8076
153	Intercept		-0.7080
153	Trt	D	-1.5797
153	Trt	C	-0.7258
153	Trt	B	-0.2321
153	Trt	A	0
153	Scale Parameter		2.3510
154	Intercept		-0.6823
154	Trt	D	-1.9324
154	Trt	C	-1.3968
154	Trt	B	-0.4078
154	Trt	A	0
154	Scale Parameter		2.1454
155	Intercept		-0.7184
155	Trt	D	-1.2773
155	Trt	C	-0.7150
155	Trt	B	-0.2720
155	Trt	A	0
155	Scale Parameter		3.2860
156	Intercept		-0.7347
156	Trt	D	-1.4289
156	Trt	C	-1.0876
156	Trt	B	-0.2652
156	Trt	A	0
156	Scale Parameter		2.3759
157	Intercept		-0.6287
157	Trt	D	-2.0417
157	Trt	C	-0.8855
157	Trt	B	-0.4946
157	Trt	A	0
157	Scale Parameter		3.2897
158	Intercept		-0.4930
158	Trt	D	-2.0982
158	Trt	C	-1.0735
158	Trt	B	-1.0273
158	Trt	A	0
158	Scale Parameter		1.6549
159	Intercept		-0.8137
159	Trt	D	-2.1559
159	Trt	C	-0.8916
159	Trt	B	-0.3840
159	Trt	A	0
159	Scale Parameter		2.9477
160	Intercept		-0.6596
160	Trt	D	-1.9795
160	Trt	C	-0.9052
160	Trt	B	-0.7669
160	Trt	A	0
160	Scale Parameter		1.6481
161	Intercept		-0.7856
161	Trt	D	-1.1666
161	Trt	C	-0.6086
161	Trt	B	-0.03274
161	Trt	A	0
161	Scale Parameter		2.3938
162	Intercept		-0.7851
162	Trt	D	-1.5217
162	Trt	C	-0.8049
162	Trt	B	-0.3272
162	Trt	A	0
162	Scale Parameter		2.8507
163	Intercept		-0.7182
163	Trt	D	-2.0287
163	Trt	C	-0.9612
163	Trt	B	-0.4698
163	Trt	A	0
163	Scale Parameter		2.9902
164	Intercept		-0.5596
164	Trt	D	-2.0385
164	Trt	C	-1.2094
164	Trt	B	-0.3308
164	Trt	A	0
164	Scale Parameter		2.4232
165	Intercept		-0.6110
165	Trt	D	-1.7308
165	Trt	C	-1.0489
165	Trt	B	-0.4156
165	Trt	A	0
165	Scale Parameter		1.6586
166	Intercept		-0.8509
166	Trt	D	-2.1497
166	Trt	C	-0.5165
166	Trt	B	-0.3927
166	Trt	A	0
166	Scale Parameter		2.4474
167	Intercept		-1.0580
167	Trt	D	-0.9318
167	Trt	C	-0.4843
167	Trt	B	0.07569
167	Trt	A	0
167	Scale Parameter		3.2490
168	Intercept		-0.7258
168	Trt	D	-1.5417
168	Trt	C	-0.6441
168	Trt	B	-0.5754
168	Trt	A	0
168	Scale Parameter		2.5742
169	Intercept		-0.5507
169	Trt	D	-2.0395
169	Trt	C	-1.1940
169	Trt	B	-0.6083
169	Trt	A	0
169	Scale Parameter		2.5869
170	Intercept		-0.7180
170	Trt	D	-1.6376
170	Trt	C	-0.9487
170	Trt	B	-0.6953
170	Trt	A	0
170	Scale Parameter		3.9135
171	Intercept		-0.5395
171	Trt	D	-1.9665
171	Trt	C	-0.8536
171	Trt	B	-0.9404
171	Trt	A	0
171	Scale Parameter		1.7473
172	Intercept		-0.5360
172	Trt	D	-1.5389
172	Trt	C	-0.9182
172	Trt	B	-0.6265
172	Trt	A	0
172	Scale Parameter		2.0240
173	Intercept		-1.4247
173	Trt	D	-0.9976
173	Trt	C	-0.2533
173	Trt	B	0.1084
173	Trt	A	0
173	Scale Parameter		4.4594
174	Intercept		-0.6629
174	Trt	D	-1.3334
174	Trt	C	-0.7739
